Basic VRRPv2 configuration,"configure terminal
  interface [interface]
    vrrp [number] ip [IP]
    vrrp [number] priority [1-254]
    vrrp [number] preempt delay minimum [seconds]",VRRP
VRRPv2 authentication configuration,"configure terminal
  interface [interface]
    vrrp [number] authentication [algorithm] key-chain [name]",VRRP
VRRPv2 tracking object configuration,"configure terminal
  interface [interface]
    vrrp [number] track [number] decrement [number]",VRRP
Basic VRRPv3 IPv4 configuration,"configure terminal
  fhrp version vrrp v3
  interface [interface]
    vrrp [number] address-family ipv4
      address [IP]
      priority [1-254]
      preempt  delay minimum [seconds]",VRRP
Basic VRRPv3 IPv6 configuration,"configure terminal
  fhrp version vrrp v3
  interface [interface]
    vrrp [number] address-family ipv6
      address [link local IPv6] primary
      address [global unicast IPv6]/[prefix length]
      priority [1-254]
      preempt  delay minimum [seconds]",VRRP
VRRPv3 tracking object configuration,"configure terminal
  fhrp version vrrp v3
  interface [interface]
    vrrp [number] address-family ipv[4/6]
      track [number] decrement [number]",VRRP
Basic HSRPv1 configuration,"configure terminal
  interface [interface]
    standby [number] ip [IP]
    standby [number] priority [0-255]
    standby [number] preempt delay minimum [seconds]",HSRP
Basic HSRPv2 IPv4 configuration,"configure terminal
  interface [interface]
    standby version 2
    standby [number] ip [IP]
    standby [number] priority [0-255]
    standby [number] preempt delay minimum [seconds]",HSRP
Basic HSRPv2 IPv6 configuration,"configure terminal
  interface [interface]
    standby version 2
    standby [number] ipv6 auto
    standby [number] ipv6 [IPv6]/[prefix length]
    standby [number] priority [0-255]
    standby [number] preempt delay minimum [seconds]",HSRP
HSRP tracking object configuration,"configure terminal
  interface [interface]
    standby [number] track [number] decrement [number]",HSRP
HSRP authentication configuration,"configure terminal
  interface [interface]
    standby [number] authentication [algorithm] key-chain [name]",HSRP
Basic GLBP IPv4 configuration,"configure terminal
  interface [interface]
    glbp [number] ip [IP]
    glbp [number] priority [1-255]
    glbp [number] preempt delay minimum [seconds]",GLBP
Basic GLBP IPv6 configuration,"configure terminal
  interface [interface]
    glbp [number] ipv6 auto
    glbp [number] ipv6 [IPv6]/[prefix length]
    glbp [number] priority [1-255]
    glbp [number] preempt delay minimum [seconds]",GLBP
GLBP tracking object configuration,"configure terminal
  interface [interface]
    glbp [number] weighting [number] lower [number] upper [number]
    glbp [number] weighting track [number] decrement [number]",GLBP
GLBP authentication configuration,"configure terminal
  interface [interface]
    glbp [number] authentication [algorithm] key-chain [name]",GLBP
GLBP load balacing configuration,"configure terminal
  interface [interface]
    glbp [number] load-balancing {host-dependent | round-robin | weighted}",GLBP
Basic SNMPv2 read only community configuration,"configure terminal
  snmp-server community [name] RO",SNMP
SNMPv2c add trap configuration,"configure terminal
  snmp-server host [IP] version 2c [community]
  snmp-server enable traps",SNMP
Basic read only SNMPv3 configuration with authentication and encryption,"configure terminal
  snmp-server group [name] v3 priv
  snmp-server user [name] [group name] v3 auth [hash] [password] priv [encryption] [key length] [password]",SNMP
SNMPv3 add trap with authentication and encryption configuration,"configure terminal
  snmp-server host [IP] traps version 3 priv [user]
  snmp-server enable traps",SNMP
SNMP set location configuration,"configure terminal
  snmp-server location [location]",SNMP
SNMP set contact configuration,"configure terminal
  snmp-server contact [email]",SNMP
Basic SYSLOG configuration,"configure terminal
  logging [IP]
  logging source-interface [interface]
  logging on",SYSLOG
SYSLOG log level configuration,"configure terminal 
  logging trap [level]",SYSLOG
List all SYSLOG levels,"7 Emergency
6 Alert
5 Critial
4 Error
3 Warning
2 Notification
1 Information
0 Debug",SYSLOG
